,City,SPlace,DPlace,Category,Age,Gender,Rating,Review,btnClick
84,Nainital,Van Vihar National Park,Rajamalai (Eravikulam) National Park,Religious,43,Male,5,Love how it takes my preferences into account without too many hindrances.,0
85,Kanyakumari,Mehtab Bagh,Bada Bagh,Historical,24,Male,4,"Diverse recommendations, good work.",1
86,Srinagar,Shantadurga Temple,Golden Temple,Natural,38,Male,1,I didn't find the app's recommendations to be very useful or informative.,1
87,Srinagar,Pangong Tso,Chowmahalla Palace,Religious,61,Female,3,Expected more unique places rather than the usual.,0
88,Aurangabad,Red Fort (Lal Quila),Mandir Mata Lal Devi,Natural,25,Male,1,The app kept suggesting destinations that didn't match my preferences.,1
89,Aurangabad,Top Station,Chowmahalla Palace,Religious,14,Female,4,The travel itinerary feature is really helpful.,0
90,Udaipur,Panchakki (Water Mill),Chowmahalla Palace,Architectural,64,Male,3,Fine attempt.,1
91,Nainital,Vashisht Baths,Chowmahalla Palace,Religious,34,Female,1,"Disappointing experience, wouldn't recommend.",0
92,Bhopal,Jaisalmer Fort,Madikeri Fort,Historical,39,Female,2,"I appreciate the effort, but I think the app could recommend a wider variety of places.",0
93,Bhopal,Durgiana Temple,Golden Temple,Natural,42,Male,2,"It's alright, nothing special.",0
94,Darjeeling,Dakshineswar Kali Temple,Golden Temple,Architectural,43,Male,1,The app kept glitching and I had trouble navigating through it.,1
95,Darjeeling,Nahargarh Fort,Madikeri Fort,Architectural,65,Female,5,So impressed with the accuracy of the suggestions.,1
96,New Delhi,Reis Magos Fort,Madikeri Fort,Architectural,46,Male,4,"Waiting for its launch, really nice recommendations.",0
97,New Delhi,Alappuzha Lighthouse,Alappuzha Beach,Historical,65,Male,1,Did not like the recommendations.,1
98,Udaipur,Kainchi Dham,Jageshwar Dham,Natural,55,Female,4,Visually appealing app!,0
99,Mumbai,Sahelion Ki Bari,Bagore Ki Haveli Museum,Historical,57,Female,1,The app didn't provide enough options that matched my taste.,1
100,Hampi,Arulmigu Manakula Vinayagar Temple,Golden Temple,Architectural,55,Female,5,Highly recommend this app.,0
101,Kanyakumari,Ooty Lake,Pykara Lake,Historical,49,Female,1,Didn't find the recommendations helpful at all as they did not match my preferences.,1
102,Mumbai,Alappuzha Beach,Alappuzha Lighthouse,Natural,35,Male,4,"Easy to navigate, and very user friendly.",1
103,Udaipur,Pykara Falls,Pykara Lake,Natural,16,Male,2,"While the app is okay, I think there is room for improvement in recommending more places.",0
104,Hampi,Arulmigu Manakula Vinayagar Temple,Golden Temple,Architectural,54,Female,3,Was expecting more places.,0
105,Udaipur,Sri Chamundeshwari Temple,Sri Sri Radha Gopinath Temple,Natural,35,Female,4,App glitches during sign up but overall good experience.,1
106,Udaipur,Statue of Ugra Narsimha,Thiruvalluvar Statue,Religious,44,Female,1,I didn't find any of the recommendations from this app to be useful.,1
107,Kanyakumari,Virupaksha Temple,Golden Temple,Natural,60,Female,2,"The buttons aren't registering clicks correctly, and the recommended places are just mediocre.",1
108,Mumbai,Gobindgarh Fort,Madikeri Fort,Natural,47,Female,1,The app crashed multiple times while I was trying to log-in.,1
109,Mumbai,Raja's Seat,Raja's Tomb,Natural,29,Female,1,No new places to see.,0
110,Kanyakumari,Abbey Falls,Pykara Falls,Religious,26,Male,3,"Some features helpful, some very usual and mainstream.",0
111,New Delhi,Church of Our Lady of the Immaculate Conception,St. Philomena's Church,Natural,27,Female,4,"Great app, definitely gonna use it for planning.",1
112,New Delhi,Jantar Mantar - Jaipur,City Palace of Jaipur,Natural,55,Female,1,App didn't provide enough details on the itinerary plan places.,1
113,Kanyakumari,Chhatrapati Shivaji Terminus,Chowmahalla Palace,Religious,65,Female,2,Not too happy with the images and layout of the app.,1
114,Kodaikanal,City Palace of Udaipur,City Palace of Jaipur,Architectural,36,Female,4,Fantastic!,1
115,Kodaikanal,Gurdwara Pathar Sahib,Gurudwara Bangla Sahib,Architectural,16,Male,5,Love how user-friendly this app is.,0
116,Kodaikanal,Pykara Lake,Pykara Falls,Historical,34,Female,1,Recommendations not personalised.,0
117,Mumbai,Vithala Temple Complex,Golden Temple,Religious,20,Female,3,Good work.,1
118,Hampi,Madikeri Fort,Gobindgarh Fort,Architectural,54,Female,3,Itinerary was fine but could be better.,1
119,New Delhi,Magnetic Hill,Shankaracharya Hill,Natural,56,Female,5,Fantastic app - I found the perfect destination in minutes.,1
120,Munnar,Kasar Devi Temple,Nanda Devi Temple,Architectural,40,Female,1,This app did not provide any useful information about the destinations it recommended.,0
121,Kodaikanal,Aurangabad Caves,Ellora Caves,Natural,57,Male,2,"It was okayish, has a lot of scope. Good luck!",1
122,Munnar,Vithala Temple Complex,Golden Temple,Architectural,25,Female,2,Recommendations' quality varies from city to city.,0
123,New Delhi,Upper Lake,Pykara Lake,Natural,40,Female,1,Did not find the recommendations relevant.,0
124,Ooty,Pykara Falls,Pykara Lake,Historical,57,Male,2,Average app with average recommendations.,0
125,Ooty,Akal Takht,Chowmahalla Palace,Natural,56,Male,5,This app helped me discover hidden gems in the cities I have known for a long time.,1
126,Varanasi,Kuldhara Abandoned Village,Chowmahalla Palace,Historical,14,Female,5,Highly recommend this 'recommender' app!,0
127,Kodaikanal,Bada Bagh,Jallianwala Bagh,Natural,58,Female,4,Little slow to load but good recommendations.,1
128,Hampi,Mysore Palace (Amba Vilas),Chowmahalla Palace,Architectural,53,Male,1,No unique recommendations provided.,1
129,Hampi,Shaniwar Wada,Chowmahalla Palace,Architectural,64,Male,3,Impressive but has more potential.,1
130,Kodaikanal,Alappuzha Lighthouse,Alappuzha Beach,Religious,17,Male,5,Love this app - it suggests unique travel destinations that I would never have thought of on my own.,1
131,Kolkata,Mother House,Chunnambar Boat House,Architectural,58,Male,2,Quality of recommendations differs between type of places.,0
132,Ooty,Kodaikanal Lake,Pykara Lake,Natural,59,Male,4,The itinerary for the trip was great and proved to be very useful.,0
133,Varanasi,Chunnambar Boat House,Mother House,Natural,33,Male,2,"Buttons not clicking properly, okayish places recommended.",0
134,Ooty,Virupaksha Temple,Golden Temple,Natural,58,Female,4,"Endorse it fully, good looking app visually.",0
135,Varanasi,Guna Cave,Eco Cave Gardens,Natural,28,Male,1,The app's recommendations were not very diverse.,0
136,Panjim,Bhadra Maruti,Chowmahalla Palace,Architectural,12,Female,4,Nice app.,1
137,Panjim,Howrah Bridge,Chowmahalla Palace,Architectural,19,Male,3,Adequate for people who don't wanna think a lot about travel.,1
138,Varanasi,Sahelion Ki Bari,Bagore Ki Haveli Museum,Natural,26,Female,3,"I really liked the design, but places were little less.",0
139,Hampi,Bandra-Worli Sea Link,Chowmahalla Palace,Historical,21,Female,4,"Variety in recommendations, recommend it fully.",0
140,Kolkata,Deltin Royale,Deltin Jaqk,Historical,23,Female,3,"App if fine, recommendations can be better.",1
141,Varanasi,Taj Mahal,Lotus Mahal,Natural,25,Female,4,Nice variety of recommendations.,0
142,Kolkata,Chowmahalla Palace,Padmanabhapuram Palace,Natural,25,Male,4,Good app for recommending places.,0
143,Munnar,Solang Valley,Solang Nullah,Historical,58,Male,1,Why does it predict historical places without giving any information about them? No use!,1
144,Hampi,Jantar Mantar - Jaipur,City Palace of Jaipur,Historical,15,Female,2,"It is a fine attempt, but in back of my mind I feel it can do better with recommending more places.",1
145,Varanasi,Kasar Devi Temple,Nanda Devi Temple,Religious,45,Female,5,User-friendly app with good personalized recommendations.,1
146,Panjim,Lake Pichola,Pykara Lake,Architectural,23,Female,4,"Some glitches in the app, but overall good.",0
147,Hampi,Jaswant Thada,Chowmahalla Palace,Historical,52,Female,1,Took forever to load the travel itinerary.,1
148,Panjim,Mehtab Bagh,Bada Bagh,Historical,52,Female,3,Really liked it.,1
149,Panjim,Aga Khan Palace,Monsoon Palace,Natural,28,Male,1,Not enough variety in recommendations.,1
